id,title,topicUrl,postDate,lastCommentPostDate,commentCount,votes,author,authorType
694704,How to Improve Code ARC Prize Score from 0.9 to 30.22,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/694704,2026-04-26T13:11:41.270301400Z,2026-04-26T18:26:38.370Z,3,-4,Ra'uf Fauzan Rambe,TOPIC
694698,95% on ARC AGI1 evaluation,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/694698,2026-04-26T12:08:12.016366600Z,2026-04-26T14:02:50.133333300Z,2,15,CPMP,TOPIC
693263,the leaderboard is stuck?,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/693263,2026-04-20T12:58:46.570216500Z,2026-04-26T13:15:14.536666700Z,2,,hwe owe,TOPIC
694653,[Open Source] 400/400 ARC-1 Training Dataset Solver Released!,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/694653,2026-04-26T06:41:42.147510200Z,2026-04-26T06:41:42.146666700Z,,3,Chaitanya Gullapalli,TOPIC
691081,When will a new model be top?,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/691081,2026-04-13T19:46:35.083125Z,2026-04-26T00:31:56.963333300Z,16,11,CPMP,TOPIC
694618,"EGO-ARC: Embryonic Growth Approach (local ARC-AGI-1 sandbox, 9/50 -> 17/50)",https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/694618,2026-04-25T21:26:52.410235900Z,2026-04-25T21:26:52.410Z,,,mateuszwiecek,TOPIC
690497,collecting solution from the competition,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/690497,2026-04-12T00:40:32.406559700Z,2026-04-24T13:52:46.623333300Z,9,1,hwe owe,TOPIC
693826,finding teamate,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/693826,2026-04-22T13:38:25.049351400Z,2026-04-24T12:10:43.533333300Z,3,,hwe owe,TOPIC
687701,What is ARC actually measuring?,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/687701,2026-04-03T13:33:43.261628300Z,2026-04-23T05:00:20.966666700Z,5,3,Ern711,TOPIC
693607,Training data augmentation,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/693607,2026-04-21T17:28:06.255333600Z,2026-04-22T12:25:43.743333300Z,2,2,Serhii Hrynko,TOPIC
693074,'/kaggle/inference_outputs' does not exist.,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/693074,2026-04-19T12:30:53.044256Z,2026-04-19T16:45:33.303333300Z,2,,MASAAKI HAYASHI,TOPIC
691202,is this normal ?,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/691202,2026-04-14T07:14:58.338773600Z,2026-04-18T05:13:38.716666700Z,9,,harsh,TOPIC
685142,Last Years 1st Place Solution,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/685142,2026-03-27T00:29:52.980030300Z,2026-04-16T10:04:21.353333300Z,21,21,Chris Deotte,TOPIC
687095,when will we get gpu L4x4,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/687095,2026-04-02T07:24:05.513466400Z,2026-04-11T05:57:49.366666700Z,3,8,hwe owe,TOPIC
684662,Discrepancy between stated prizes on Kaggle page & ARC-AGI-2 2026 page?,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/684662,2026-03-25T18:43:54.428300700Z,2026-04-08T18:25:28.950Z,7,5,Kitty H,TOPIC
689423,Submission scoring error,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/689423,2026-04-08T16:26:22.755997700Z,2026-04-08T16:26:22.756666700Z,,,Ashish Lal,TOPIC
684857,How the current dataset compares with ARC-AGI-1?,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/684857,2026-03-26T08:52:17.152692200Z,2026-04-07T11:35:13.026666700Z,10,3,Paul Jurczak,TOPIC
684761,🎬Truth guard🚨🚨,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/684761,2026-03-26T00:37:53.055115100Z,2026-04-07T03:38:37.416666700Z,7,-8,Dr/ameen Fayed,TOPIC
685621,"Can models be trained elsewhere, and the submission run time be used purely for inference?",https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/685621,2026-03-28T16:51:31.563791600Z,2026-03-30T13:07:10.590Z,1,2,arciel,TOPIC
685660,Question About Open-Weight Models in Offline Evaluation,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/685660,2026-03-28T18:38:46.187037700Z,2026-03-28T18:38:46.186666700Z,,1,ZoeLeaf,TOPIC
684880,Have anyone try to use gpu or tpu?,https://www.kaggle.com/competitions/arc-prize-2026-arc-agi-2/discussion/684880,2026-03-26T11:14:58.351453800Z,2026-03-27T03:16:44.223333300Z,1,1,hwe owe,TOPIC
